0xfff3, 0x00
0x0300, 0xac
0x0301, 0x00
0x0302, 0x0c
0x0303, 0x17
0x0304, 0x21
0x0305, 0x2b
0x0306, 0x38
0x0307, 0x42
0x0308, 0x4c
0x0309, 0x56
0x030a, 0x63
0x030b, 0x6d
0x030c, 0x78
0x030d, 0x81
0x030e, 0x0c
0x030f, 0x17
0x0310, 0x21
0x0311, 0x2b
0x0312, 0x38
0x0313, 0x42
0x0314, 0x4c
0x0315, 0x56
0x0316, 0x63
0x0317, 0x6d
0x0318, 0x77
0x0319, 0x82
0x031a, 0x0d
0x031b, 0x17
0x031c, 0x22
0x031d, 0x2c
0x031e, 0x38
0x031f, 0x42
0x0320, 0x4c
0x0321, 0x56
0x0322, 0x62
0x0323, 0x6c
0x0324, 0x77
0x0325, 0x81
0x0326, 0x0d
0x0327, 0x18
0x0328, 0x22
0x0329, 0x2c
0x032a, 0x38
0x032b, 0x42
0x032c, 0x4c
0x032d, 0x56
0x032e, 0x62
0x032f, 0x6c
0x0330, 0x76
0x0331, 0x81
0x0332, 0x0d
0x0333, 0x18
0x0334, 0x22
0x0335, 0x2c
0x0336, 0x38
0x0337, 0x42
0x0338, 0x4c
0x0339, 0x55
0x033a, 0x62
0x033b, 0x6c
0x033c, 0x76
0x033d, 0x80
0x033e, 0x0e
0x033f, 0x18
0x0340, 0x22
0x0341, 0x2c
0x0342, 0x38
0x0343, 0x42
0x0344, 0x4c
0x0345, 0x56
0x0346, 0x62
0x0347, 0x6c
0x0348, 0x76
0x0349, 0x80
0x034a, 0x0e
0x034b, 0x18
0x034c, 0x22
0x034d, 0x2c
0x034e, 0x38
0x034f, 0x42
0x0350, 0x4c
0x0351, 0x55
0x0352, 0x62
0x0353, 0x6c
0x0354, 0x76
0x0355, 0x80
0x0356, 0x0e
0x0357, 0x18
0x0358, 0x22
0x0359, 0x2c
0x035a, 0x38
0x035b, 0x42
0x035c, 0x4c
0x035d, 0x55
0x035e, 0x62
0x035f, 0x6c
0x0360, 0x76
0x0361, 0x80
0x0362, 0x0d
0x0363, 0x18
0x0364, 0x22
0x0365, 0x2c
0x0366, 0x38
0x0367, 0x42
0x0368, 0x4c
0x0369, 0x55
0x036a, 0x62
0x036b, 0x6c
0x036c, 0x76
0x036d, 0x80
0x036e, 0x0d
0x036f, 0x17
0x0370, 0x22
0x0371, 0x2c
0x0372, 0x38
0x0373, 0x42
0x0374, 0x4c
0x0375, 0x56
0x0376, 0x62
0x0377, 0x6c
0x0378, 0x76
0x0379, 0x81
0x037a, 0x0c
0x037b, 0x17
0x037c, 0x21
0x037d, 0x2b
0x037e, 0x38
0x037f, 0x42
0x0380, 0x4c
0x0381, 0x56
0x0382, 0x62
0x0383, 0x6c
0x0384, 0x77
0x0385, 0x81
0x0386, 0x0c
0x0387, 0x16
0x0388, 0x21
0x0389, 0x2b
0x038a, 0x38
0x038b, 0x42
0x038c, 0x4c
0x038d, 0x56
0x038e, 0x62
0x038f, 0x6d
0x0390, 0x77
0x0391, 0x81
0x0392, 0x12
0x0393, 0x11
0x0394, 0x11
0x0395, 0x12
0x0396, 0x12
0x0397, 0x12
0x0398, 0x12
0x0399, 0x12
0x039a, 0x12
0x039b, 0x11
0x039c, 0x11
0x039d, 0x12
0x039e, 0x1e
0x039f, 0x1f
0x03a0, 0x1f
0x03a1, 0x1f
0x03a2, 0x20
0x03a3, 0x20
0x03a4, 0x20
0x03a5, 0x20
0x03a6, 0x1f
0x03a7, 0x1f
0x03a8, 0x1f
0x03a9, 0x1e
0x03aa, 0x2c
0x03ab, 0x2c
0x03ac, 0x2c
0x03ad, 0x2d
0x03ae, 0x2d
0x03af, 0x2d
0x03b0, 0x2d
0x03b1, 0x2d
0x03b2, 0x2d
0x03b3, 0x2c
0x03b4, 0x2c
0x03b5, 0x2c
0x03b6, 0x39
0x03b7, 0x39
0x03b8, 0x39
0x03b9, 0x3a
0x03ba, 0x3a
0x03bb, 0x3a
0x03bc, 0x3a
0x03bd, 0x3a
0x03be, 0x3a
0x03bf, 0x3a
0x03c0, 0x39
0x03c1, 0x39
0x03c2, 0x47
0x03c3, 0x47
0x03c4, 0x48
0x03c5, 0x48
0x03c6, 0x48
0x03c7, 0x48
0x03c8, 0x48
0x03c9, 0x48
0x03ca, 0x48
0x03cb, 0x48
0x03cc, 0x48
0x03cd, 0x48
0x03ce, 0x54
0x03cf, 0x54
0x03d0, 0x54
0x03d1, 0x54
0x03d2, 0x54
0x03d3, 0x54
0x03d4, 0x54
0x03d5, 0x54
0x03d6, 0x54
0x03d7, 0x54
0x03d8, 0x54
0x03d9, 0x54
0x03da, 0x61
0x03db, 0x61
0x03dc, 0x61
0x03dd, 0x61
0x03de, 0x61
0x03df, 0x61
0x03e0, 0x61
0x03e1, 0x61
0x03e2, 0x61
0x03e3, 0x61
0x03e4, 0x61
0x03e5, 0x61
0x03e6, 0x6d
0x03e7, 0x6d
0x03e8, 0x6d
0x03e9, 0x6d
0x03ea, 0x6d
0x03eb, 0x6d
0x03ec, 0x6d
0x03ed, 0x6d
0x03ee, 0x6d
0x03ef, 0x6d
0x03f0, 0x6d
0x03f1, 0x6d
0x03f2, 0x7c
0x03f3, 0x7b
0x03f4, 0x7b
0x03f5, 0x7b
0x03f6, 0x7b
0x03f7, 0x7b
0x03f8, 0x7b
0x03f9, 0x7b
0x03fa, 0x7b
0x03fb, 0x7b
0x03fc, 0x7b
0x03fd, 0x7c
0x03fe, 0x88
0x03ff, 0x88
0x0400, 0x88
0x0401, 0x88
0x0402, 0x87
0x0403, 0x87
0x0404, 0x87
0x0405, 0x87
0x0406, 0x88
0x0407, 0x88
0x0408, 0x88
0x0409, 0x89
0x040a, 0x96
0x040b, 0x95
0x040c, 0x95
0x040d, 0x95
0x040e, 0x94
0x040f, 0x94
0x0410, 0x94
0x0411, 0x94
0x0412, 0x95
0x0413, 0x95
0x0414, 0x95
0x0415, 0x96
0x0416, 0xa3
0x0417, 0xa3
0x0418, 0xa2
0x0419, 0xa2
0x041a, 0xa2
0x041b, 0xa2
0x041c, 0xa2
0x041d, 0xa2
0x041e, 0xa2
0x041f, 0xa2
0x0420, 0xa2
0x0421, 0xa2
0x0422, 0x36
0x0423, 0x36
0x0424, 0x36
0x0425, 0x36
0x0426, 0x36
0x0427, 0x36
0x0428, 0x36
0x0429, 0x36
0x042a, 0x36
0x042b, 0x36
0x042c, 0x36
0x042d, 0x36
0x042e, 0x36
0x042f, 0x36
0x0430, 0x36
0x0431, 0x36
0x0432, 0x36
0x0433, 0x36
0x0434, 0x36
0x0435, 0x36
0x0436, 0x36
0x0437, 0x36
0x0438, 0x36
0x0439, 0x36
0x043a, 0x36
0x043b, 0x36
0x043c, 0x36
0x043d, 0x36
0x043e, 0x36
0x043f, 0x36
0x0440, 0x36
0x0441, 0x36
0x0442, 0x36
0x0443, 0x36
0x0444, 0x36
0x0445, 0x36
0x0446, 0x36
0x0447, 0x36
0x0448, 0x36
0x0449, 0x36
0x044a, 0x36
0x044b, 0x36
0x044c, 0x36
0x044d, 0x36
0x044e, 0x36
0x044f, 0x36
0x0450, 0x36
0x0451, 0x36
0x0452, 0x36
0x0453, 0x36
0x0454, 0x36
0x0455, 0x36
0x0456, 0x36
0x0457, 0x36
0x0458, 0x36
0x0459, 0x36
0x045a, 0x36
0x045b, 0x36
0x045c, 0x36
0x045d, 0x36
0x045e, 0x36
0x045f, 0x36
0x0460, 0x36
0x0461, 0x36
0x0462, 0x36
0x0463, 0x36
0x0464, 0x36
0x0465, 0x36
0x0466, 0x36
0x0467, 0x36
0x0468, 0x36
0x0469, 0x36
0x046a, 0x36
0x046b, 0x36
0x046c, 0x36
0x046d, 0x36
0x046e, 0x36
0x046f, 0x36
0x0470, 0x36
0x0471, 0x36
0x0472, 0x36
0x0473, 0x36
0x0474, 0x36
0x0475, 0x36
0x0476, 0x36
0x0477, 0x36
0x0478, 0x36
0x0479, 0x36
0x047a, 0x36
0x047b, 0x36
0x047c, 0x36
0x047d, 0x36
0x047e, 0x36
0x047f, 0x36
0x0480, 0x36
0x0481, 0x36
0x0482, 0x36
0x0483, 0x36
0x0484, 0x36
0x0485, 0x36
0x0486, 0x36
0x0487, 0x36
0x0488, 0x36
0x0489, 0x36
0x048a, 0x36
0x048b, 0x36
0x048c, 0x36
0x048d, 0x36
0x048e, 0x36
0x048f, 0x36
0x0490, 0x36
0x0491, 0x36
0x0492, 0x36
0x0493, 0x36
0x0494, 0x36
0x0495, 0x36
0x0496, 0x36
0x0497, 0x36
0x0498, 0x36
0x0499, 0x36
0x049a, 0x36
0x049b, 0x36
0x049c, 0x36
0x049d, 0x36
0x049e, 0x36
0x049f, 0x36
0x04a0, 0x36
0x04a1, 0x36
0x04a2, 0x36
0x04a3, 0x36
0x04a4, 0x36
0x04a5, 0x36
0x04a6, 0x36
0x04a7, 0x36
0x04a8, 0x36
0x04a9, 0x36
0x04aa, 0x36
0x04ab, 0x36
0x04ac, 0x36
0x04ad, 0x36
0x04ae, 0x36
0x04af, 0x36
0x04b0, 0x36
0x04b1, 0x36
0x04b2, 0x01
0x04b3, 0x8a
0x04b4, 0x01
