captureName,periscopeTemp,ntcTemp,rikerTemp,periscopeVhv,validSequenceStart_,validSequenceLength_,numFrames,errorStr
ReferenceScan,39.294147,38.073776,35.675472,-20.182657,1,16,16,
GateTimingScan,40.116463,38.438435,36.584789,-20.196968,1,28,28,
ImageX2_15cm_NR,40.527622,39.052433,37.191002,-20.204124,1,90,90,
DNL_CW_ShortRange,40.527622,38.683086,36.584789,-20.204124,1,100,100,
DNL_CW_Normal,41.761097,39.799881,37.191002,-20.225592,1,100,100,
ImageX4_100cm_NR,41.349937,39.052433,37.191002,-20.218437,1,180,180,
Image_100cm,41.349937,40.051697,38.403427,-20.218437,1,45,45,
TOF_100cm_OP_WPSG,40.938782,39.052433,36.887897,-20.211281,1,40,40,
Image_90cm,41.349937,40.431988,39.009640,-20.218437,1,45,45,
Image_80cm,40.938782,39.176189,37.191002,-20.211281,1,45,45,
TOF_60cm_OP_NPSRF,40.938782,39.176189,37.191002,-20.211281,1,40,40,
TOF_DarkBox_OP_NPSRF,40.938782,40.051697,38.403427,-20.211281,1,40,40,
P2PScan,41.349937,39.176189,37.494110,-20.218437,1,262,262,
