PhoenixVersion,3.7.2
PhoenixCommit,13066dea3ae29cf56f4b500c1825416eeabf2257
DSIFederationVersion,4ea93c1587619f200b4c1921e4a13d14aab013dd
JasperDepth.version,19.2
module_sn,HNQ213415Q1Q7PX49
sensor_sn,16C592D60-09-0983
sensor_sn_alt,16C592D60-09-0983
station_sn,PRI-CALU-023
socket_sn,PU-JSC30-00006
module_index,1
build_config,C3041
start_time,2022-03-29 20:12:43
archive_filename,L02JAS_CALU_PRI-CALU-023_C3041_HNQ213415Q1Q7PX49_20220329201243.zip
DNLCalibration_BISTNumFrames,100
DNLCalibration_BISTPostResetDelay,500
DNLCalibration_BISTTbcExp,250000
DNLCalibration_CaptureFlatFieldImage,false
DNLCalibration_DNLStationType,"FFLP"
DNLCalibration_EnableBIST,false
DNLCalibration_NormalModeAverageTDCs,true
DNLCalibration_ShortRangeAverageTDCs,true
DOEs_DarkBoxCaptureImage180,false
DOEs_DarkBoxTargetDistanceCm,15
DOEs_LongExposureDOE_SwizzleAnchorPixels,true
DOEs_LongExposureDOE_TOFNumFrames,500
DOEs_LongExposureDOE_tbcexp,800000
DOEs_SpotfinderMatchWPSG,true
DOEs_VCSELCornerDOECondition,0
ImageScanUseCalibratedRSPX,true
IntrinsicCalibration_EstimateDistortionCenter,true
IntrinsicCalibration_UseEOLTxData,false
P2PCalibration_P2PStationType,"fiber"
P2PCalibration_dynamicScan,true
P2PCalibration_tbcexp,700000
P2PCalibration_tdcScanRepetitions,3
P2PCalibration_tdctr1cOffset-fiber,160
P2PCalibration_tdctr1cOffset-llg,128
P2PCalibration_trgoutdelayOffset,0
T0Calibration_BISTNumFrames,100
T0Calibration_BISTPostResetDelay,500
T0Calibration_captureNarrowPulse,true
T0Calibration_captureWidePulse,false
T0Calibration_maskGroupMask,1
T0Calibration_maskSetMask,3
T0Calibration_scanRepetitions,1
T0Calibration_tbcexp,200000
archiveOutputPath,"/Users/Federation/Finished2"
autoflushRawData,true
bypassDXP,false
disableES2BadPixels,false
enableMacroModeTest,true
logLevel,4
matlab_display,false
matlab_jvm,false
opModeRepetitions,10
parallelCapture_image,false
parallelCapture_tof,true
priModulation,true
rawDataOutputPath,"/Users/Federation/tmp"
saveRawData,true
serverProcessCount,13
sessionModel,"FederationPOR_pri"
sessionTimeoutMinutes,10
useNativeAlgo,true
session_error_status,0
RefScan_mean_temp,39.8071
RefScan_mean_vbd,409.875
RefScan_range_temp,0.820312
RefScan_range_vbd,5
RefScan_laserIntensity_1,170
RefScan_laserIntensity_2,170
RefScan_laserIntensity_3,170
RefScan_laserIntensity_4,170
RefSel_RSPX0_1,0
RefSel_RSPX0_2,0
RefSel_RSPX0_3,0
RefSel_RSPX0_4,0
RefSel_RSPX1_1,138
RefSel_RSPX1_2,138
RefSel_RSPX1_3,138
RefSel_RSPX1_4,138
T0timing_RefTofRange_1,0
T0timing_RefTofRange_2,0
T0timing_RefTofRange_3,0
T0timing_RefTofRange_4,0
T0timing_TRGOUTDELAY_1,-4
T0timing_TRGOUTDELAY_2,-4
T0timing_TRGOUTDELAY_3,-4
T0timing_TRGOUTDELAY_4,-4
T0timing_T0FirstBinTofBank_1,605.237
T0timing_T0FirstBinTofBank_2,614.013
T0timing_T0FirstBinTofBank_3,608.019
T0timing_T0FirstBinTofBank_4,618.973
T0timing_ImgTofRange_1,0
T0timing_ImgTofRange_2,0
T0timing_ImgTofRange_3,0
T0timing_ImgTofRange_4,0
ReferencePixelScanProcessor_error_id,
ReferencePixelScanProcessor_error_msg,
WPSG_TRGOUTDLY_1,-4
WPSG_TRGOUTDLY_2,-4
WPSG_TRGOUTDLY_3,-4
WPSG_TRGOUTDLY_4,-4
WPSG_TMINTOF_1,2
WPSG_TMINTOF_2,2
WPSG_TMINTOF_3,2
WPSG_TMINTOF_4,2
WPSG_TDCTR1C_1,36
WPSG_TDCTR1C_2,36
WPSG_TDCTR1C_3,36
WPSG_TDCTR1C_4,36
WPSG_SETPLSCG_1,3
WPSG_SETPLSCG_2,3
WPSG_SETPLSCG_3,3
WPSG_SETPLSCG_4,3
WPSG_TGDDLY_1,0
WPSG_TGDDLY_2,0
WPSG_TGDDLY_3,0
WPSG_TGDDLY_4,0
WPSG_imgStrayDelay_1,1570
WPSG_imgStrayDelay_2,1574
WPSG_imgStrayDelay_3,1568
WPSG_imgStrayDelay_4,1576
WPSG_refStrayDelay_1,1612
WPSG_refStrayDelay_2,1620
WPSG_refStrayDelay_3,1611
WPSG_refStrayDelay_4,1641
WPSG_gateDelay_1,4167
WPSG_gateDelay_2,4167
WPSG_gateDelay_3,4167
WPSG_gateDelay_4,4167
WPSG_gateDelay_cont_1,4163
WPSG_gateDelay_cont_2,4160
WPSG_gateDelay_cont_3,4158
WPSG_gateDelay_cont_4,4158
WPSG_gateStd_1,0.470838
WPSG_gateStd_2,0.453861
WPSG_gateStd_3,0.460882
WPSG_gateStd_4,0.460829
WPSG_gateSpan_1,1
WPSG_gateSpan_2,1
WPSG_gateSpan_3,1
WPSG_gateSpan_4,1
NetDelayFinder_error_id,
NetDelayFinder_error_msg,
SF_Spots99pDistToNominal_100cm,3.09955
SF_numSpotsOutTol_100cm,0
SF_missing_spots_100cm_1,0
SF_missing_spots_100cm_2,0
SF_missing_spots_100cm_3,0
SF_missing_spots_100cm_4,0
SF_Tz_mm_100cm,-0.0104275
SF_Rz_mrad_100cm,1.29343
SF_Txy_mm_100cm_1,0.016522
SF_Txy_mm_100cm_2,-0.00268857
SF_Rz_DOE2VCSEL_mrads_100cm,-0.439192
SF_Rz_DOE2Rx_mrads_100cm,-1.48958
SF_Rz_VCSEL2Rx_mrads_100cm,-1.05038
SF_mean_temp_100cm,40.9727
SF_mean_vbd_100cm,409.783
SF_range_temp_100cm,1.23047
SF_range_vbd_100cm,15
SF_missing_pixels_100cm,793
SF_over_400k_cps_dcr_100cm,0
SF_over_1M_cps_dcr_100cm,0
SF_max_cps_dcr_100cm,36428.9
ContrastCorrectedSpotFinder-100cm_error_id,
ContrastCorrectedSpotFinder-100cm_error_msg,
DNL_RelErr1DNL_short,0.0108898
DNL_FrameIntensityStability_short,1.10135
DNL_MaxDnlVal_short,1.11692
DNL_MinDnlVal_short,0.880146
DNL_MeanHitPerPRI_short,0.22773
DNL_MaxHitPerPRI_short,0.238036
DNL_MinHitPerPRI_short,0.209892
DNL_NTdcSat_short,0
DNL_TotalCounts_firstbins_short,0.975413
DNL_TotalCounts_lastbin_short,0.976101
DNL_InlMax_short,13.8906
DNL_Inl8res_Max_short,11.6087
DNL_isodd_PRIPER_short,0
DNL_FirstAndLast_stderr_short,0.396192
DNL_FirstAndLast_maxabserr_short,1.44274
DNL_FirstAndLast_perc95err_short,0.7735
DNL_Interleaved_stderr_short,0.384989
DNL_Interleaved_maxabserr_short,1.48279
DNL_Interleaved_perc95err_short,0.759464
DNL_mean_temp,41.4826
DNL_mean_vbd,413.01
DNL_range_temp,0.820312
DNL_range_vbd,15
DNL_RelErr1DNL_ref_short,0.0023036
DNL_FrameIntensityStability_ref_short,-0.0993878
DNL_MaxDnlVal_ref_short,1.12194
DNL_MinDnlVal_ref_short,0.900101
DNL_MeanHitPerPRI_ref_short,0.0327377
DNL_MaxHitPerPRI_ref_short,0.0329806
DNL_MinHitPerPRI_ref_short,0.0324947
DNL_NTdcSat_ref_short,0
DNL_TotalCounts_firstbins_ref_short,0.986589
DNL_TotalCounts_lastbin_ref_short,0.989776
DNL_InlMax_ref_short,14.9678
DNL_Inl8res_Max_ref_short,9.72002
DNL_isodd_PRIPER_ref_short,0
DNL_RelErr1DNL_normal_A,0.0108393
DNL_FrameIntensityStability_normal_A,1.50759
DNL_MaxDnlVal_normal_A,1.11075
DNL_MinDnlVal_normal_A,0.878969
DNL_MeanHitPerPRI_normal_A,0.280597
DNL_MaxHitPerPRI_normal_A,0.293535
DNL_MinHitPerPRI_normal_A,0.258143
DNL_NTdcSat_normal_A,0
DNL_TotalCounts_firstbins_normal_A,0.998704
DNL_TotalCounts_lastbin_normal_A,0.249891
DNL_InlMax_normal_A,16.9097
DNL_Inl8res_Max_normal_A,15.4136
DNL_isodd_PRIPER_normal_A,0
DNL_LEDintensity_correctionFactor,1.3627
DNL_90prcPerFrame_hitPerPRI_normal_A,0.289743
DNL_FirstAndLast_stderr_normal_A,0.802881
DNL_FirstAndLast_maxabserr_normal_A,3.28443
DNL_FirstAndLast_perc95err_normal_A,1.56992
DNL_Interleaved_stderr_normal_A,0.799602
DNL_Interleaved_maxabserr_normal_A,3.00284
DNL_Interleaved_perc95err_normal_A,1.5491
DNL_RelErr1DNL_ref_normal_A,-0.00601234
DNL_FrameIntensityStability_ref_normal_A,-0.205978
DNL_MaxDnlVal_ref_normal_A,1.11164
DNL_MinDnlVal_ref_normal_A,0.901696
DNL_MeanHitPerPRI_ref_normal_A,0.0390601
DNL_MaxHitPerPRI_ref_normal_A,0.0393354
DNL_MinHitPerPRI_ref_normal_A,0.0387848
DNL_NTdcSat_ref_normal_A,0
DNL_TotalCounts_firstbins_ref_normal_A,0.975084
DNL_TotalCounts_lastbin_ref_normal_A,0.977169
DNL_InlMax_ref_normal_A,15.8364
DNL_Inl8res_Max_ref_normal_A,9.6948
DNL_isodd_PRIPER_ref_normal_A,0
DNLProcessor_error_id,
DNLProcessor_error_msg,
FE_mean_temp_100cm,40.5169
FE_mean_vbd_100cm,405.178
FE_range_temp_100cm,0.410156
FE_range_vbd_100cm,9
FE_focus_quality_100cm,0.807658
FE_image_SNR_100cm,42.8129
FE_feature_accuracy_arcs_100cm,0.354822
FE_image_total_intensity_100cm,9.12868e+08
FE_num_features_found_100cm,237
FE_num_features_missed_100cm,15
FE_num_features_identified_100cm,235
FE_num_features_not_identified_100cm,2
FE_homography_precision_100cm,0.000589314
FE_bad_pixels_100cm,0
FE_origin_feature_found_100cm,1
FE_num_unique_feature_found_100cm,15
FE_Rx2target_100cm,-179.804
FE_mean_temp_90cm,40.6719
FE_mean_vbd_90cm,406.267
FE_range_temp_90cm,0.410156
FE_range_vbd_90cm,7
FE_focus_quality_90cm,0.801718
FE_image_SNR_90cm,41.6677
FE_feature_accuracy_arcs_90cm,0.571017
FE_image_total_intensity_90cm,8.94032e+08
FE_num_features_found_90cm,192
FE_num_features_missed_90cm,60
FE_num_features_identified_90cm,192
FE_num_features_not_identified_90cm,0
FE_homography_precision_90cm,0.00048076
FE_bad_pixels_90cm,0
FE_origin_feature_found_90cm,1
FE_num_unique_feature_found_90cm,15
FE_Rx2target_90cm,-179.813
FE_mean_temp_80cm,40.6081
FE_mean_vbd_80cm,408.244
FE_range_temp_80cm,0.410156
FE_range_vbd_80cm,8
FE_focus_quality_80cm,0.801262
FE_image_SNR_80cm,44.0218
FE_feature_accuracy_arcs_80cm,0.54977
FE_image_total_intensity_80cm,8.48471e+08
FE_num_features_found_80cm,130
FE_num_features_missed_80cm,122
FE_num_features_identified_80cm,130
FE_num_features_not_identified_80cm,0
FE_homography_precision_80cm,0.000469285
FE_bad_pixels_80cm,0
FE_origin_feature_found_80cm,1
FE_num_unique_feature_found_80cm,15
FE_Rx2target_80cm,-179.81
FeatureExtractor_error_id,
FeatureExtractor_error_msg,
intr_efl,1.53012
intr_distortion_30,1.33869
intr_distortion_50,4.01573
intr_distortion_80,14.7981
intr_cx,-0.286857
intr_cy,-0.335766
intr_dcx,0.0656784
intr_dcy,-0.182314
intr_rel_dcx,0.352535
intr_rel_dcy,0.153452
intr_k2,-0.250292
intr_k4,0.00102257
intr_k6,-0.096798
intr_plane_tilt_x,0
intr_plane_tilt_y,0
intr_plane_trans_x,-113.49
intr_plane_trans_y,316.101
intr_rail_z_offset,0.0977597
intr_rx_rot_x,-0.00356866
intr_rx_rot_y,-0.0010024
intr_rx_rot_z,-0.00365066
intr_exitflag,1
intr_erepr_rmse,0.0358018
intr_num_rejected_th,0
intr_num_rejected_pct,52
intr_fe_erepr_vec_mean_1,-3.84505e-13
intr_fe_erepr_vec_mean_2,2.28162e-11
intr_fe_erepr_vec_mean_mag,2.28194e-11
intr_fe_erepr_mean,0.0450721
intr_fe_erepr_max,0.11969
intr_fe_erepr_rad_mean,0.000168084
intr_fe_erepr_tan_mean,3.0552e-05
intr_feature_min_image_height,0.395623
intr_feature_max_image_height,1.01292
intr_feature_num_080cm,103
intr_feature_num_090cm,151
intr_feature_num_100cm,210
intr_feature_num_shared_1,61
intr_feature_num_shared_2,59
intr_feature_num_shared_3,95
IntrinsicsCalibrator_error_id,
IntrinsicsCalibrator_error_msg,
RefTiming_NPSRF_1,1973.58
RefTiming_NPSRF_2,1963.06
RefTiming_NPSRF_3,1972.33
RefTiming_NPSRF_4,1970.4
RefTiming_NPSRF_5,1977.46
RefTiming_NPSRF_6,1977.09
RefTiming_NPSRF_7,1992.94
RefTiming_NPSRF_8,1987.95
